https://tudatalib.ulb.tu-darmstadt.de/handle/tudatalib/2478

Quelle	Autor	Titel	Jahr	Journal	Typ	DOI	Gelesen?	Empirisch?	Ausschlusspunkt	Ausschlussgrund	Kommentar	Feld	Thema	HMD	Interaction device	No Participants	Low Abstraction	Medium	High	Exactly like RE	Similar to RE	Different to RE	Training	No Training	Walking	Balance	Navigation / Orientation	Searching / Identifying	Reaching	Picking / Manual object interaction	Cognitive / Memory tasks	Spatial Perception	Quantitative	Qualitative	Experiment	Secondary research 	Subjective feedback	Consistent	Better	Worse
WOS	"Ping, Jiamin; Weng, Dongdong; Liu, Yue; Wang, Yongtian"	Depth perception in shuffleboard: Depth cues effect on depth perception in virtual and augmented reality system	2020	JOURNAL OF THE SOCIETY FOR INFORMATION DISPLAY		10.1002/jsid.840	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. Depth perception in VR	Hardwareentwicklung und Evaluation	Visual perception	NED+ optical see?through stereographic AR HMD	None	22																								
WOS	"Fransson, Goran; Holmberg, Jorgen; Westelius, Claes"	The challenges of using head mounted virtual reality in K-12 schools from a teacher perspective	2020	EDUCATION AND INFORMATION TECHNOLOGIES		10.1007/s10639-020-10119-1	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Image of VR / Use of VR																											
WOS	"Appel, Lora; Appel, Eva; Bogler, Orly; Wiseman, Micaela; Cohen, Leedan; Ein, Natalie; Abrams, Howard B.; Campos, Jennifer L."	Older Adults With Cognitive and/or Physical Impairments Can Benefit From Immersive Virtual Reality Experiences: A Feasibility Study	2020	FRONTIERS IN MEDICINE		10.3389/fmed.2019.00329	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Rehabilitation / Treatment																											
WOS	"Griffin, Tom; Muldoon, Meghan"	Exploring virtual reality experiences of slum tourism	2020	TOURISM GEOGRAPHIES		10.1080/14616688.2020.1713881	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Tourism	Perception of prodcuts / Advertisement																											
WOS	"Na, Woongsoo; Dao, Nhu-Ngoc; Kim, Joongheon; Ryu, Eun-Seok; Cho, Sungrae"	Simulation and measurement: Feasibility study of Tactile Internet applications for mmWave virtual reality	2020	ETRI JOURNAL		10.4218/etrij.2019-0284	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Hardware development																											
WOS	"Tumialis, Alexey; Smirnov, Alexey; Fadeev, Kirill; Alikovskaia, Tatiana; Khoroshikh, Pavel; Sergievich, Alexander; Golokhvast, Kirill"	Motor Program Transformation of Throwing Dart from the Third-Person Perspective	2020	BRAIN SCIENCES		10.3390/brainsci10010055	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Human biology	Visual perception																											
WOS	"Gu, Jiaxi; Yu, Zhiwen; Shen, Kele"	Alohomora: Motion-Based Hotword Detection in Head-Mounted Displays	2020	IEEE INTERNET OF THINGS JOURNAL		10.1109/JIOT.2019.2946593	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Control of VR / Human-Computer Interface																											
WOS	"Zaleski-King, Ashley; Pinto, Robin; Lee, General; Brungart, Douglas"	Use of Commercial Virtual Reality Technology to Assess Verticality Perception in Static and Dynamic Visual Backgrounds	2020	EAR AND HEARING		10.1097/AUD.0000000000000736	Görge	Ja	Volltext	kein Bezug zu manueller Kommissionierung	ectl. Vergleich Wahrnehmung	Human biology	Measurement of body functions	Oculus Rift	Computer mouse	44																								
WOS	"Hagita, Katsumi; Kodama, Yuuki; Takada, Masashi"	Simplified virtual reality training system for radiation shielding and measurement in nuclear engineering	2020	PROGRESS IN NUCLEAR ENERGY		10.1016/j.pnucene.2019.103127	Görge	?	Abstract	kein Bezug zu manueller Kommissionierung		Ingenieurwesen / Physik	Training	HTC Vive																										
WOS	"Bae, Yoosung; Cha, Baekdong; Ryu, Jeha"	Calibration and Evaluation for Visuo-haptic Collocation in Haptic Augmented Virtuality Systems	2020	INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS		10.1007/s12555-018-0882-3	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Haptics / Physical interaction	HTC Vive																										
WOS	"Alrehaili, Enas Abdulrahman; Al Osman, Hussein"	A virtual reality role-playing serious game for experiential learning	2019	INTERACTIVE LEARNING ENVIRONMENTS		10.1080/10494820.2019.1703008	Görge	Ja	Volltext	kein Bezug zu manueller Kommissionierung	evtl. experiential learning	Bildungswesen	Training	Oculus Rift DK2	Keyboard	31																								
WOS	"Greene, David; Groenendyk, Michael"	An environmental scan of virtual and augmented reality services in academic libraries	2019	LIBRARY HI TECH		10.1108/LHT-08-2019-0166	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Image of VR / Use of VR																											
WOS	"Jost, Tyler A.; Drewelow, Grant; Koziol, Scott; Rylander, Jonathan"	A quantitative method for evaluation of 6 degree of freedom virtual reality systems	2019	JOURNAL OF BIOMECHANICS		10.1016/j.jbiomech.2019.109379	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Tracking / Motion Capturing (Evaluation)	HTC Vive																										
WOS	"Risi, Dante; Palmisano, Stephen"	Effects of postural stability, active control, exposure duration and repeated exposures on HMD induced cybersickness	2019	DISPLAYS		10.1016/j.displa.2019.08.003	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Cybersickness / Fatigue																											
WOS	"Wang, Qiyue; Cheng, Yongchao; Jiao, Wenhua; Johnson, Michael T.; Zhang, YuMing"	Virtual reality human-robot collaborative welding: A case study of weaving gas tungsten arc welding	2019	JOURNAL OF MANUFACTURING PROCESSES		10.1016/j.jmapro.2019.10.016	Görge	Nein	Volltext	nur Technik		Manufacturing	Remote Control / Digital Twin	HTC Vive																										
WOS	"Lubetzky, Anat V.; Harel, Daphna; Kelly, Jennifer; Hujsak, Bryan D.; Perlin, Ken"	Weighting and reweighting of visual input via head mounted display given unilateral peripheral vestibular dysfunction	2019	HUMAN MOVEMENT SCIENCE		10.1016/j.humov.2019.102526	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Human biology	Balance	Oculus Rift																										
WOS	"Marchetto, Jonathan; Wright, W. Geoffrey"	The Validity of an Oculus Rift to Assess Postural Changes During Balance Tasks	2019	HUMAN FACTORS		10.1177/0018720819835088	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Balance	Oculus Rift																										
WOS	"Shu, Yu; Huang, Yen-Zhang; Chang, Shu-Hsuan; Chen, Mu-Yen"	Do virtual reality head-mounted displays make a difference? A comparison of presence and self-efficacy between head-mounted displays and desktop computer-facilitated virtual environments	2019	VIRTUAL REALITY		10.1007/s10055-018-0376-x	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Presence																											
WOS	"Klippel, Alexander; Zhao, Jiayan; Jackson, Kathy Lou; La Femina, Peter; Stubbs, Chris; Wetzel, Ryan; Blair, Jordan; Wallgrun, Jan Oliver; Oprean, Danielle"	Transforming Earth Science Education Through Immersive Experiences: Delivering on a Long Held Promise	2019	JOURNAL OF EDUCATIONAL COMPUTING RESEARCH		10.1177/0735633119854025	Görge	Ja	Sample		Analysing learning eff	Bildungswesen	Training	HTC Vive	HTC Vive controller	37	x			x			x					x			x		x	x	x				x	
WOS	"Cao, Shi; Nandakumar, Krithika; Babu, Raiju; Thompson, Benjamin"	Game play in virtual reality driving simulation involving head-mounted display and comparison to desktop display	2019	VIRTUAL REALITY		10.1007/s10055-019-00412-x	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Movement / Navigation	Oculus Rift 																										
WOS	"Kalarat, Kosin; Koomhin, Phanit"	REAL-TIME VOLUME RENDERING INTERACTION IN VIRTUAL REALITY	2019	INTERNATIONAL JOURNAL OF TECHNOLOGY		10.14716/ijtech.v10i7.3259	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Visualisation																											
WOS	"Kourtesis, Panagiotis; Collina, Simona; Doumas, Leonidas A. A.; MacPherson, Sarah E."	Validation of the Virtual Reality Neuroscience Questionnaire: Maximum Duration of Immersive Virtual Reality Sessions Without the Presence of Pertinent Adverse Symptomatology	2019	FRONTIERS IN HUMAN NEUROSCIENCE		10.3389/fnhum.2019.00417	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Cybersickness / Fatigue																											
WOS	"De Paolis, Lucio Tommaso; De Luca, Valerio"	The impact of the input interface in a virtual environment: the Vive controller and the Myo armband	2019	VIRTUAL REALITY		10.1007/s10055-019-00409-6	Görge	Ja	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Haptics / Physical interaction	HTC Vive & Myo																										
WOS	"Tremmel, Christoph; Herff, Christian; Sato, Tetsuya; Rechowicz, Krzysztof; Yamani, Yusuke; Krusienski, Dean J."	Estimating Cognitive Workload in an Interactive Virtual Reality Environment Using EEG	2019	FRONTIERS IN HUMAN NEUROSCIENCE		10.3389/fnhum.2019.00401	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Measurement of body functions																											
WOS	"Jost, Tyler A.; Nelson, Bradley; Rylander, Jonathan"	Quantitative analysis of the Oculus Rift S in controlled movement	2019	DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY		10.1080/17483107.2019.1688398	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Tracking / Motion Capturing (Evaluation)	Oculus Rift																										
WOS	"Huang, Weibo; Xiang, Handun; Li, Shaohui"	The application of augmented reality and unity 3D in interaction with intangible cultural heritage	2019	EVOLUTIONARY INTELLIGENCE		10.1007/s12065-019-00314-6	Görge	Nein	Abstract	kein VR																														
WOS	"Clifton, Jeremy; Palmisano, Stephen"	Effects of steering locomotion and teleporting on cybersickness and presence in HMD-based virtual reality	2019	VIRTUAL REALITY		10.1007/s10055-019-00407-8	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung	evtl. laufen in VR aber kein Vergleich	Hardwareentwicklung und Evaluation	Movement / Navigation																											
WOS	"Ronchi, Enrico; Mayorga, David; Lovreglio, Ruggiero; Wahlqvist, Jonathan; Nilsson, Daniel"	Mobile-powered head-mounted displays versus cave automatic virtual environment experiments for evacuation research	2019	COMPUTER ANIMATION AND VIRTUAL WORLDS		10.1002/cav.1873	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Evaluation of VR systems																											
WOS	"Lee, Eun-Young; Tran, Van Thanh; Kim, Dongho"	A Novel Head Mounted Display Based Methodology for Balance Evaluation and Rehabilitation	2019	SUSTAINABILITY		10.3390/su11226453	Görge	Ja	Abstract	kein VR		Hardwareentwicklung und Evaluation	Balance																											
WOS	"Perrin, Theo; Faure, Charles; Nay, Kevin; Cattozzo, Giammaria; Sorel, Anthony; Kulpa, Richard; Kerherve, Hugo A."	Virtual Reality Gaming Elevates Heart Rate but Not Energy Expenditure Compared to Conventional Exercise in Adult Males	2019	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH		10.3390/ijerph16224406	Görge	Ja	Volltext	kein Bezug zu manueller Kommissionierung	Vergleich: Energy Expenditure	Human biology	Measurement of body functions	HTC Vive	HTC Vive controllers	9																								
WOS	"Piccione, Joseph; Collett, James; De Foe, Alexander"	Virtual skills training: the role of presence and agency	2019	HELIYON		10.1016/j.heliyon.2019.e02583	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	VR golf training	Hardwareentwicklung und Evaluation	Training	Oculus Rift	Oculus handheld controllers	23																								
WOS	"Park, Jeong Hye; Jeon, Han Jae; Lim, Eun-Cheon; Koo, Ja-Won; Lee, Hyo-Jeong; Kim, Hyung-Jong; Lee, Jung Seop; Song, Chang-Geun; Hong, Sung Kwang"	Feasibility of Eye Tracking Assisted Vestibular Rehabilitation Strategy Using Immersive Virtual Reality	2019	CLINICAL AND EXPERIMENTAL OTORHINOLARYNGOLOGY		10.21053/ceo.2018.01592	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment																											
WOS	"Lee, Donggeon; Hong, Soungkyun; Jung, Sunhye; Lee, Kyeongbong; Lee, Gyuchang"	The Effects of Viewing Smart Devices on Static Balance, Oculomotor Function, and Dizziness in Healthy Adults	2019	MEDICAL SCIENCE MONITOR		10.12659/MSM.915284	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Human biology	Balance																											
WOS	"Maniam, Pavithran; Schnell, Philipp; Dan, Lilly; Portelli, Rony; Erolin, Caroline; Mountain, Rodney; Wilkinson, Tracey"	Exploration of temporal bone anatomy using mixed reality (HoloLens): development of a mixed reality anatomy teaching resource prototype	2020	JOURNAL OF VISUAL COMMUNICATION IN MEDICINE		10.1080/17453054.2019.1671813	Görge	Nein	Titel	kein VR																														
WOS	"Cikajlo, Imre; Potisk, Karmen Peterlin"	Advantages of using 3D virtual reality based training in persons with Parkinson's disease: a parallel study	2019	JOURNAL OF NEUROENGINEERING AND REHABILITATION		10.1186/s12984-019-0601-1	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. Training von Pick and Place für Parkinson	Medizin	Rehabilitation / Treatment	Oculus Rift CV1	Leap motion controller	20																								
WOS	"Lee, Jiwon; Kim, Mingyu; Kim, Jinmo"	RoleVR: Multi-experience in immersive virtual reality between co-located HMD and non-HMD users	2020	MULTIMEDIA TOOLS AND APPLICATIONS		10.1007/s11042-019-08220-w	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Hardwareentwicklung und Evaluation	Collaboration / Interaction																											
WOS	"Cheng, Kun-Hung; Tsai, Chin-Chung"	A case study of immersive virtual field trips in an elementary classroom: Students' learning experience and teacher-student interaction behaviors	2019	COMPUTERS & EDUCATION		10.1016/j.compedu.2019.103600	Görge	Nein	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Collaboration / Interaction																											
WOS	"Rosen, Eric; Whitney, David; Phillips, Elizabeth; Chien, Gary; Tompkin, James; Konidaris, George; Tellex, Stefanie"	Communicating and controlling robot arm motion intent through mixed-reality head-mounted displays	2019	INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH		10.1177/0278364919842925	Görge	Ja	Abstract	kein VR																														
WOS	"Zhang, Yuxuan; Liu, Hexu; Zhao, Mingjun; Al-Hussein, Mohamed"	User-centered interior finishing material selection: An immersive virtual reality-based interactive approach	2019	AUTOMATION IN CONSTRUCTION		10.1016/j.autcon.2019.102884	Görge	Nein	Volltext	nur Technik		Bauwesen / Architektur	Visual perception																											
WOS	"Jansen, Wouter; Laurijssen, Dennis; Daems, Walter; Steckel, Jan"	Automatic Calibration of a Six-Degrees-of-Freedom Pose Estimation System	2019	IEEE SENSORS JOURNAL		10.1109/JSEN.2019.2921644	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Measurement of body functions	HTC Vive																										
WOS	"Starr, Christine R.; Anderson, Barrett R.; Green, Katherine A."	I'm a Computer Scientist!: Virtual Reality Experience Influences Stereotype Threat and STEM Motivation Among Undergraduate Women	2019	JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY		10.1007/s10956-019-09781-z	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Emotions / Empathy / Fear	HTC Vive																										
WOS	"Cha, Seung Hyun; Koo, Choongwan; Kim, Tae Wan; Hong, Taehoon"	Spatial perception of ceiling height and type variation in immersive virtual environments	2019	BUILDING AND ENVIRONMENT		10.1016/j.buildenv.2019.106285	Görge	Ja	Sample		Spatial perception in rooms with different ceiling height	Bauwesen / Architektur	Visual perception	Oculus Rift CV1	Xbox controller	40	x			x				x								x	x			x		x		
WOS	"Rose, Vienna; Stewart, Inga; Jenkins, Keith G.; Tabbaa, Luma; Ang, Chee Siang; Matsangidou, Maria"	Bringing the outside in: The feasibility of virtual reality with people with dementia in an inpatient psychiatric care setting	2019	DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE		10.1177/1471301219868036	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Rehabilitation / Treatment																											
WOS	"Newbutt, Nigel; Bradley, Ryan; Conley, Iian"	Using Virtual Reality Head-Mounted Displays in Schools with Autistic Children: Views, Experiences, and Future Directions	2020	CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING		10.1089/cyber.2019.0206	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Emotions / Empathy / Fear	HTC Vive																										
WOS	"Ijaz, Kiran; Ahmadpour, Naseem; Naismith, Sharon L.; Calvo, Rafael A."	An Immersive Virtual Reality Platform for Assessing Spatial Navigation Memory in Predementia Screening: Feasibility and Usability Study	2019	JMIR MENTAL HEALTH		10.2196/13887	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Memory Assessment	Oculus Rift																										
WOS	"Beams, Ryan; Kim, Andrea S.; Badano, Aldo"	Transverse chromatic aberration in virtual reality head-mounted displays	2019	OPTICS EXPRESS		10.1364/OE.27.024877	Görge	Nein	Abstract	nur Technik		Softwareentwicklung	Visualisation	Oculus Go, Oculus Rift, Samsung Gear VR, HTC Vive																										
WOS	"Naylor, Matthew; Morrison, Ben; Ridout, Brad; Campbell, Andrew"	Augmented Experiences: Investigating the Feasibility of Virtual Reality as Part of a Workplace Wellbeing Intervention	2019	INTERACTING WITH COMPUTERS		10.1093/iwc/iwz033	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Psychology / Human factors	Emotions / Empathy / Fear	Oculus Rift																										
WOS	"Yamaguchi, Masahiro; Matsumura, Masayo; Shimada, Hikari; Araki, Kenji"	Emotional evaluation for pictures displayed with small FOV telescope environment in virtual reality headset	2019	ARTIFICIAL LIFE AND ROBOTICS		10.1007/s10015-019-00536-y	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Emotions / Empathy / Fear																											
WOS	"Nai, Weizhi; Feng, Junyan; Shan, Ling; Jia, Feiyong; Sun, Minghui; Sun, Xiaoying"	Estimating Forearm Axial Rotation Using Vive Trackers for Interaction With Serious Games	2019	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING		10.1109/TNSRE.2019.2931778	Görge	Nein	Abstract	kein Bezug zu manueller Kommissionierung		Softwareentwicklung	Tracking / Motion Capturing (Evaluation)	HTC Vive																										
WOS	"Shen, Chien-wen; Ho, Jung-tsung; Pham Thi Minh Ly; Kuo, Ting-chang"	Behavioural intentions of using virtual reality in learning: perspectives of acceptance of information technology and learning style	2019	VIRTUAL REALITY		10.1007/s10055-018-0348-1	Görge	Ja	Abstract	kein VR																														
WOS	"Micaroni, Lorenzo; Carulli, Marina; Ferrise, Francesco; Gallace, Alberto; Bordegoni, Monica"	An Olfactory Display to Study the Integration of Vision and Olfaction in a Virtual Reality Environment	2019	JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING		10.1115/1.4043068	Görge	Nein	Abstract	nur Technik		Hardwareentwicklung und Evaluation	Olfactory perception																											
WOS	"Rizzuto, Michael A.; Sonne, Michael W. L.; Vignais, Nicolas; Keir, Peter J."	Evaluation of a virtual reality head mounted display as a tool for posture assessment in digital human modelling software	2019	APPLIED ERGONOMICS		10.1016/j.apergo.2019.04.001	Görge	Ja	Sample		Comparing postures and kinematics of a pointing task	Ergonomie	Measurement of body functions	Oculus Rift	Raptor 4 Motion capture	14			x	x				x									x		x			x		x
WOS	"Loup, Guillaume; Loup-Escande, Emilie"	Effects of Travel Modes on Performances and User Comfort: A Comparison between ArmSwinger and Teleporting	2019	INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION		10.1080/10447318.2018.1519164	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	evtl. Bewegungsarten in VR	Hardwareentwicklung und Evaluation	Movement / Navigation	HTC Vive	HTC Vive Controller	43																								
WOS	"Sakhare, Ashwin R.; Yang, Vincent; Stradford, Joy; Tsang, Ivan; Ravichandran, Roshan; Pa, Judy"	Cycling and Spatial Navigation in an Enriched, Immersive 3D Virtual Park Environment: A Feasibility Study in Younger and Older Adults	2019	FRONTIERS IN AGING NEUROSCIENCE		10.3389/fnagi.2019.00218	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Psychology / Human factors	Rehabilitation / Treatment																											
WOS	"Chung, Hyun Chae; Choi, Gyoojae; Azam, Muhammad"	Effects of Initial Starting Distance and Gap Characteristics on Children's and Young Adults' Velocity Regulation When Intercepting Moving Gaps	2019	HUMAN FACTORS		10.1177/0018720819867501	Görge	Ja	Abstract	VR nur als Methode		Psychology / Human factors	Movement / Navigation	Oculus Rift																										
WOS	"Kelly, Jonathan W.; Klesel, Brenna C.; Cherep, Lucia A."	Visual Stabilization of Balance in Virtual Reality Using the HTC Vive	2019	ACM TRANSACTIONS ON APPLIED PERCEPTION		10.1145/3313902	Görge	Ja	Sample		Comparing balance standing on one leg only	Ergonomie	Balance	HTC Vive	None	32	x			x				x		x							x		x					x
WOS	"Yildirim, Cagdas; Bostan, Barbaros; Berkman, Mehmet Ilker"	Impact of different immersive techniques on the perceived sense of presence measured via subjective scales	2019	ENTERTAINMENT COMPUTING		10.1016/j.entcom.2019.100308	Görge	Ja	Abstract	kein Vergleich zu realer Anwendung		Hardwareentwicklung und Evaluation	Presence																											
WOS	"Ghita, Alexandra; Hernandez-Serrano, Olga; Fernandez-Ruiz, Yolanda; Monras, Miquel; Ortega, Lluisa; Mondon, Silvia; Teixidor, Lidia; Gual, Antoni; Porras-Garcia, Bruno; Ferrer-Garcia, Marta; Gutierrez-Maldonado, Jose"	Cue-Elicited Anxiety and Alcohol Craving as Indicators of the Validity of ALCO-VR Software: A Virtual Reality Study	2019	JOURNAL OF CLINICAL MEDICINE		10.3390/jcm8081153	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Rehabilitation / Treatment																											
WOS	"Jurda, Mikolas; Urbanova, Petra; Chmelik, Jiri"	Digital restoration of fragmentary human skeletal remains: Testing the feasibility of virtual reality	2019	JOURNAL OF FORENSIC AND LEGAL MEDICINE		10.1016/j.jflm.2019.06.005	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Medizin	Visualisation	HTC Vive																										
WOS	Huang, Wen	Examining the impact of head-mounted display virtual reality on the science self-efficacy of high schoolers	2019	INTERACTIVE LEARNING ENVIRONMENTS		10.1080/10494820.2019.1641525	Görge	Ja	Abstract	kein Bezug zu manueller Kommissionierung		Bildungswesen	Emotions / Empathy / Fear																											
WOS	"Srivastava, Priyanka; Rimzhim, Anurag; Vijay, Palash; Singh, Shruti; Chandra, Sushil"	Desktop VR Is Better Than Non-ambulatory HMD VR for Spatial Learning	2019	FRONTIERS IN ROBOTICS AND AI		10.3389/frobt.2019.00050	Görge	Ja	Volltext	kein Vergleich zu realer Anwendung	interessant: Vergleich von Lernen in VR	Hardwareentwicklung und Evaluation	Training	Oculus Rift	Xbox 360 controller	40																								
WOS	"Ali, Almaas A.; Dafoulas, Georgios A.; Augusto, Juan Carlos"	Collaborative Educational Environments Incorporating Mixed Reality Technologies: A Systematic Mapping Study	2019	IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES		10.1109/TLT.2019.2926727	Görge	Ja	Abstract	Review																														
WOS	"Alghamdi, Najood; Alhalabi, Wadee"	Fixation Detection with Ray-casting in Immersive Virtual Reality	2019	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS		0	Görge	Ja	Abstract	nur Technik		Softwareentwicklung	Measurement of body functions																											
