Titel,Autor,Jahr,Journal,Typ,DOI
rolevr: multi-experience in immersive virtual reality between co-located hmd and non-hmd users,"lee, jiwon; kim, mingyu; kim, jinmo",2020,multimedia tools and applications,,10.1007/s11042-019-08220-w
a case study of immersive virtual field trips in an elementary classroom: students' learning experience and teacher-student interaction behaviors,"cheng, kun-hung; tsai, chin-chung",2019,computers & education,,10.1016/j.compedu.2019.103600
communicating and controlling robot arm motion intent through mixed-reality head-mounted displays,"rosen, eric; whitney, david; phillips, elizabeth; chien, gary; tompkin, james; konidaris, george; tellex, stefanie",2019,international journal of robotics research,,10.1177/0278364919842925
user-centered interior finishing material selection: an immersive virtual reality-based interactive approach,"zhang, yuxuan; liu, hexu; zhao, mingjun; al-hussein, mohamed",2019,automation in construction,,10.1016/j.autcon.2019.102884
automatic calibration of a six-degrees-of-freedom pose estimation system,"jansen, wouter; laurijssen, dennis; daems, walter; steckel, jan",2019,ieee sensors journal,,10.1109/JSEN.2019.2921644
i'm a computer scientist!: virtual reality experience influences stereotype threat and stem motivation among undergraduate women,"starr, christine r.; anderson, barrett r.; green, katherine a.",2019,journal of science education and technology,,10.1007/s10956-019-09781-z
spatial perception of ceiling height and type variation in immersive virtual environments,"cha, seung hyun; koo, choongwan; kim, tae wan; hong, taehoon",2019,building and environment,,10.1016/j.buildenv.2019.106285
bringing the outside in: the feasibility of virtual reality with people with dementia in an inpatient psychiatric care setting,"rose, vienna; stewart, inga; jenkins, keith g.; tabbaa, luma; ang, chee siang; matsangidou, maria",2019,dementia-international journal of social research and practice,,10.1177/1471301219868036
"using virtual reality head-mounted displays in schools with autistic children: views, experiences, and future directions","newbutt, nigel; bradley, ryan; conley, iian",2020,cyberpsychology behavior and social networking,,10.1089/cyber.2019.0206
an immersive virtual reality platform for assessing spatial navigation memory in predementia screening: feasibility and usability study,"ijaz, kiran; ahmadpour, naseem; naismith, sharon l.; calvo, rafael a.",2019,jmir mental health,,10.2196/13887
transverse chromatic aberration in virtual reality head-mounted displays,"beams, ryan; kim, andrea s.; badano, aldo",2019,optics express,,10.1364/OE.27.024877
augmented experiences: investigating the feasibility of virtual reality as part of a workplace wellbeing intervention,"naylor, matthew; morrison, ben; ridout, brad; campbell, andrew",2019,interacting with computers,,10.1093/iwc/iwz033
emotional evaluation for pictures displayed with small fov telescope environment in virtual reality headset,"yamaguchi, masahiro; matsumura, masayo; shimada, hikari; araki, kenji",2019,artificial life and robotics,,10.1007/s10015-019-00536-y
estimating forearm axial rotation using vive trackers for interaction with serious games,"nai, weizhi; feng, junyan; shan, ling; jia, feiyong; sun, minghui; sun, xiaoying",2019,ieee transactions on neural systems and rehabilitation engineering,,10.1109/TNSRE.2019.2931778
behavioural intentions of using virtual reality in learning: perspectives of acceptance of information technology and learning style,"shen, chien-wen; ho, jung-tsung; pham thi minh ly; kuo, ting-chang",2019,virtual reality,,10.1007/s10055-018-0348-1
an olfactory display to study the integration of vision and olfaction in a virtual reality environment,"micaroni, lorenzo; carulli, marina; ferrise, francesco; gallace, alberto; bordegoni, monica",2019,journal of computing and information science in engineering,,10.1115/1.4043068
evaluation of a virtual reality head mounted display as a tool for posture assessment in digital human modelling software,"rizzuto, michael a.; sonne, michael w. l.; vignais, nicolas; keir, peter j.",2019,applied ergonomics,,10.1016/j.apergo.2019.04.001
effects of travel modes on performances and user comfort: a comparison between armswinger and teleporting,"loup, guillaume; loup-escande, emilie",2019,international journal of human-computer interaction,,10.1080/10447318.2018.1519164
"cycling and spatial navigation in an enriched, immersive 3d virtual park environment: a feasibility study in younger and older adults","sakhare, ashwin r.; yang, vincent; stradford, joy; tsang, ivan; ravichandran, roshan; pa, judy",2019,frontiers in aging neuroscience,,10.3389/fnagi.2019.00218
effects of initial starting distance and gap characteristics on children's and young adults' velocity regulation when intercepting moving gaps,"chung, hyun chae; choi, gyoojae; azam, muhammad",2019,human factors,,10.1177/0018720819867501
visual stabilization of balance in virtual reality using the htc vive,"kelly, jonathan w.; klesel, brenna c.; cherep, lucia a.",2019,acm transactions on applied perception,,10.1145/3313902
impact of different immersive techniques on the perceived sense of presence measured via subjective scales,"yildirim, cagdas; bostan, barbaros; berkman, mehmet ilker",2019,entertainment computing,,10.1016/j.entcom.2019.100308
cue-elicited anxiety and alcohol craving as indicators of the validity of alco-vr software: a virtual reality study,"ghita, alexandra; hernandez-serrano, olga; fernandez-ruiz, yolanda; monras, miquel; ortega, lluisa; mondon, silvia; teixidor, lidia; gual, antoni; porras-garcia, bruno; ferrer-garcia, marta; gutierrez-maldonado, jose",2019,journal of clinical medicine,,10.3390/jcm8081153
digital restoration of fragmentary human skeletal remains: testing the feasibility of virtual reality,"jurda, mikolas; urbanova, petra; chmelik, jiri",2019,journal of forensic and legal medicine,,10.1016/j.jflm.2019.06.005
examining the impact of head-mounted display virtual reality on the science self-efficacy of high schoolers,"huang, wen",2019,interactive learning environments,,10.1080/10494820.2019.1641525
desktop vr is better than non-ambulatory hmd vr for spatial learning,"srivastava, priyanka; rimzhim, anurag; vijay, palash; singh, shruti; chandra, sushil",2019,frontiers in robotics and ai,,10.3389/frobt.2019.00050
collaborative educational environments incorporating mixed reality technologies: a systematic mapping study,"ali, almaas a.; dafoulas, georgios a.; augusto, juan carlos",2019,ieee transactions on learning technologies,,10.1109/TLT.2019.2926727
fixation detection with ray-casting in immersive virtual reality,"alghamdi, najood; alhalabi, wadee",2019,international journal of advanced computer science and applications,,0
effects of displays on a direct reaching task: a comparative study of head mounted display and stereoscopic widescreen display,"lin, chiuhsiang j.; abreham, betsha t.; woldegiorgis, bereket h.",2019,international journal of industrial ergonomics,,10.1016/j.ergon.2019.06.013
inception: virtual space in memory space in real space - memory forensics of immersive virtual reality with the htc vive,"casey, peter; lindsay-decusati, rebecca; baggili, ibrahim; breitinger, frank",2019,digital investigation,,10.1016/j.diin.2019.04.007
modeling of human welders' operations in virtual reality human-robot interaction,"wang, qiyue; jiao, wenhua; yu, rui; johnson, michael t.; zhang, yuming",2019,ieee robotics and automation letters,,10.1109/LRA.2019.2921928
postural stability predicts the likelihood of cybersickness in active hmd-based virtual reality,"arcioni, benjamin; palmisano, stephen; apthorp, deborah; kim, juno",2019,displays,,10.1016/j.displa.2018.07.001
vection does not necessitate visually induced motion sickness,"kuiper, ouren x.; bos, jelte e.; diels, cyriel",2019,displays,,10.1016/j.displa.2018.10.001
follow the smoke: immersive display of motion data with synthesized smoke,"zhu, lifeng; wang, zian; wang, yunhai; song, aiguo",2019,ieee computer graphics and applications,,10.1109/MCG.2019.2915717
accuracy assessment for the co-registration between optical and vive head-mounted display tracking,"groves, leah a.; carnahan, patrick; allen, daniel r.; adam, rankin; peters, terry m.; chen, elvis c. s.",2019,international journal of computer assisted radiology and surgery,,10.1007/s11548-019-01992-4
"exploring barriers to adoption of virtual reality through social media analytics and machine learning - an assessment of technology, network, price and trialability","laurell, christofer; sandstrom, christian; berthold, adam; larsson, daniel",2019,journal of business research,,10.1016/j.jbusres.2019.01.017
vestibular rehabilitation in older adults with and without mild cognitive impairment: effects of virtual reality using a head-mounted display,"micarelli, alessandro; viziano, andrea; micarelli, beatrice; augimeri, ivan; alessandrini, marco",2019,archives of gerontology and geriatrics,,10.1016/j.archger.2019.05.008
ar-ped: a framework of augmented reality enabled pedestrian-in-the-loop simulation,"perez, daniel; hasan, mahmud; shen, yuzhong; yang, hong",2019,simulation modelling practice and theory,,10.1016/j.simpat.2019.03.005
user-centred design of an active computer gaming system for strength and balance exercises for older adults,"howes, sarah c.; charles, darryl; pedlow, katy; wilson, iseult; holmes, dominic; mcdonough, suzanne",2019,journal of enabling technologies,,10.1108/JET-12-2018-0057
age-related differences with immersive and non-immersive virtual reality in memory assessment,"plechata, adela; sahula, vaclav; fayette, dan; fajnerova, iveta",2019,frontiers in psychology,,10.3389/fpsyg.2019.01330
comparison of visual fatigue caused by head-mounted display for virtual reality and two-dimensional display using objective and subjective evaluation,"hirota, masakazu; kanda, hiroyuki; endo, takao; miyoshi, tomomitsu; miyagawa, suguru; hirohara, yoko; yamaguchi, tatsuo; saika, makoto; morimoto, takeshi; fujikado, takashi",2019,ergonomics,,10.1080/00140139.2019.1582805
user color temperature preferences in immersive virtual realities,"siess, andreas; woelfe, matthias",2019,computers & graphics-uk,,10.1016/j.cag.2019.03.018
interactive physiotherapy: an application based on virtual reality and bio-feedback,"baqai, attiya; memon, khuhed; memon, azam rafique; shah, syed muhammad zaigham abbas",2019,wireless personal communications,,10.1007/s11277-018-5382-5
duisburg 1566: transferring a historic 3d city model from google earth into a virtual reality application,"tschirschwitz, felix; richerzhagen, christian; przybilla, heinz-juergen; kersten, thomas p.",2019,pfg-journal of photogrammetry remote sensing and geoinformation science,,10.1007/s41064-019-00065-0
virtual reality for individuals with substance use disorders,"worley, julie",2019,journal of psychosocial nursing and mental health services,,10.3928/02793695-20190430-01
a virtual reality environment to visualize three-dimensional patient-specific models by a mobile head-mounted display,"vertemati, maurizio; cassin, simone; rizzetto, francesco; vanzulli, angelo; elli, marco; sampogna, gianluca; gallieni, maurizio",2019,surgical innovation,,10.1177/1553350618822860
assessing hands-free interactions for vr using eye gaze and electromyography,"pai, yun suen; dingler, tilman; kunze, kai",2019,virtual reality,,10.1007/s10055-018-0371-2
real-time body tracking in virtual reality using a vive tracker,"caserman, polona; garcia-agundez, augusto; konrad, robert; goebel, stefan; steinmetz, ralf",2019,virtual reality,,10.1007/s10055-018-0374-z
evaluating the effects of collaboration and competition in navigation tasks and spatial knowledge acquisition within virtual reality environments,"liang, hai-ning; lu, feiyu; shi, yuwei; nanjappan, vijayakumar; papangelis, konstantinos",2019,future generation computer systems-the international journal of escience,,10.1016/j.future.2018.02.029
using low-cost virtual reality simulation to build surgical capacity for cervical cancer treatment,"bing, eric g.; parham, groesbeck p.; cuevas, anthony; fisher, boris; skinner, jonathan; mwanahamuntu, mulindi; sullivan, richard",2019,journal of global oncology,,10.1200/JGO.18.00263
screwing assembly oriented interactive model segmentation in hmd vr environment,"zhu, xiaoqiang; song, lei; wang, nan; zhang, ruiheng; chen, shenshuai; wang, xiangyang; zhu, mengyao; you, lihua; deng, zhigang; jin, xiaogang",2019,computer animation and virtual worlds,,10.1002/cav.1880
development of a virtual reality-based game approach for supporting sensory processing disorders treatment,"rossi, henrique; prates, raquel; santos, sibele; ferreira, renato",2019,information,,10.3390/info10050177
evaluating the usability of a second-generation virtual reality game for refreshing sterile urinary catheterization skills,"kardong-edgren, suzan; breitkreuz, karen; werb, michael; foreman, stephen; ellertson, anthony",2019,nurse educator,,10.1097/NNE.0000000000000570
vr exploration assistance through automatic occlusion removal,"wang, lili; wu, jian; yang, xuefeng; popescu, voicu",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2898782
estimating vr sickness and user experience using different hmd technologies: an evaluation study,"somrak, andrej; humar, iztok; hossain, m. shamim; alhamid, mohammed f.; hossain, m. anwar; guna, joze",2019,future generation computer systems-the international journal of escience,,10.1016/j.future.2018.11.041
subjective and objective evaluation of water-supply and drainage noises in apartment buildings by using a head-mounted display,"jeon, jin yong; jo, hyun in; kim, sung min; yang, hong seok",2019,applied acoustics,,10.1016/j.apacoust.2018.12.037
consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store,"lombart, cindy; milian, elena; normand, jean-marie; verhulst, adrien; labbe-pinlon, blandine; moreau, guillaume",2019,journal of retailing and consumer services,,10.1016/j.jretconser.2019.01.010
feasibility of using a fully immersive virtual reality system for kinematic data collection,"spitzley, kate a.; karduna, andrew r.",2019,journal of biomechanics,,10.1016/j.jbiomech.2019.02.015
the role of eeg and emg combined virtual reality gaming system in facial palsy rehabilitation - a case report,"qidwai, uvais; ajimsha, m. s.; shakir, mohamed",2019,journal of bodywork and movement therapies,,10.1016/j.jbmt.2019.02.012
aligning content rendering resolution and feature size with display capability in near-eye display systems,"hoffman, david m.; mckenzie, chris; koprowski, brion; iqbal, asif; balram, nikhil",2019,journal of the society for information display,,10.1002/jsid.765
a study on the presence of immersive user interface in collaborative virtual environments application,"park, wonjun; heo, hayoung; park, seongjun; kim, jinmo",2019,symmetry-basel,,10.3390/sym11040476
"far from paradise: the body, the apparatus and the image of contemporary virtual reality","golding, dan",2019,convergence-the international journal of research into new media technologies,,10.1177/1354856517738171
pilot assessment of immersive virtual reality renal models as an educational and preoperative planning tool for percutaneous nephrolithotomy,"parkhomenko, egor; o'leary, mitchell; safiullah, shoaib; walia, sartaaj; owyong, michael; lin, cyrus; james, ryan; okhunov, zhamshid; patel, roshan m.; kaler, kamaljot s.; landman, jaime; clayman, ralph",2019,journal of endourology,,10.1089/end.2018.0626
"navigation modes, operation methods, observation scales and background options in ui design for high learning performance in vr-based architectural applications","sun, chengyu; hu, wei; xu, diqiong",2019,journal of computational design and engineering,,10.1016/j.jcde.2018.05.006
nomad vr: multiplatform virtual reality viewer for chemistry simulations,"garcia-hernandez, ruben jesus; kranzlmueller, dieter",2019,computer physics communications,,10.1016/j.cpc.2018.11.013
the impact of immersion on the perception of pornography: a virtual reality study,"simon, sofia c.; greitemeyer, tobias",2019,computers in human behavior,,10.1016/j.chb.2018.12.018
immersive virtual reality supporting content for evaluating interface using oculus rift and leap motion,"yasui, kento; kawai, ryuta; arakawa, toshiya",2019,international journal of innovative computing information and control,,10.24507/ijicic.15.02.591
fluidic elastomer actuators for haptic interactions in virtual reality,"barreiros, jose; claure, houston; peele, bryan; shapira, omer; spjut, josef; luebke, david; jung, malte; shepherd, robert",2019,ieee robotics and automation letters,,10.1109/LRA.2018.2888628
sound source localization with varying amount of visual information in virtual reality,"ahrens, axel; lund, kasper duemose; marschall, marton; dau, torsten",2019,plos one,,10.1371/journal.pone.0214603
head mounted displays for capturing head kinematics in postural tasks,"lubetzky, anat v.; wang, zhu; krasovsky, ta",2019,journal of biomechanics,,10.1016/j.jbiomech.2019.02.004
creating a low-cost virtual reality surgical simulation to increase surgical oncology capacity and capability,"parham, groesbeck; bing, eric g.; cuevas, anthony; fisher, boris; skinner, jonathan; mwanahamuntu, mulindi; sullivan, richard",2019,ecancermedicalscience,,10.3332/ecancer.2019.910
research on 3d painting in virtual reality to improve students' motivation of 3d animation learning,"ho, li-hsing; sun, hung; tsai, tsun-hung",2019,sustainability,,10.3390/su11061605
infrared bundle adjusting and clustering method for head-mounted display and leap motion calibration,"park, san; cho, seoungjae; park, jisun; huang, kaisi; sung, yunsick; cho, kyungeun",2019,human-centric computing and information sciences,,10.1186/s13673-019-0169-6
new design and comparative analysis of smartwatch metaphor-based hand gestures for 3d navigation in mobile virtual reality,"park, kyeong-beom; lee, jae yeol",2019,multimedia tools and applications,,10.1007/s11042-018-6403-9
"real-time eyeblink detector and eye state classifier for virtual reality (vr) headsets (head-mounted displays, hmds)","alsaeedi, nassr; wloka, dieter",2019,sensors,,10.3390/s19051121
immersive 360 degrees video user experience: impact of different variables in the sense of presence and cybersickness,"narciso, david; bessa, maximino; melo, miguel; coelho, antonio; vasconcelos-raposo, jose",2019,universal access in the information society,,10.1007/s10209-017-0581-5
virtual memory palaces: immersion aids recall,"krokos, eric; plaisant, catherine; varshney, amitabh",2019,virtual reality,,10.1007/s10055-018-0346-3
verification of the possibility and effectiveness of experiential learning using hmd-based immersive vr technologies,"kwon, chongsan",2019,virtual reality,,10.1007/s10055-018-0364-1
head-mounted display augmented reality to guide pedicle screw placement utilizing computed tomography,"gibby, jacob t.; swenson, samuel a.; cvetko, steve; rao, raj; javan, ramin",2019,international journal of computer assisted radiology and surgery,,10.1007/s11548-018-1814-7
neuropsychological assessment of visual selective attention and processing capacity with head-mounted displays,"foerster, rebecca m.; poth, christian h.; behler, christian; botsch, mario; schneider, werner x.",2019,neuropsychology,,10.1037/neu0000517
downstairs resident classification characteristics for upstairs walking vibration noise in an apartment building under virtual reality environment,"jo, hyun in; jeon, jin yong",2019,building and environment,,10.1016/j.buildenv.2018.12.054
biovr: a platform for virtual reality assisted biological data integration and visualization,"zhang, jimmy f.; paciorkowski, alex r.; craig, paul a.; cui, feng",2019,bmc bioinformatics,,10.1186/s12859-019-2666-z
preliminary evaluation of two digital image processing strategies for head-mounted magnification for low vision patients,"deemer, ashley d.; swenor, bonnielin k.; fujiwara, kyoko; deremeik, james t.; ross, nicole c.; natale, danielle m.; bradley, chris k.; werblin, frank s.; massof, robert w.",2019,translational vision science & technology,,10.1167/tvst.8.1.23
vision-tangible interactive display method for mixed and virtual reality: toward the human-centered editable reality,"zhang, zhenliang; li, yue; guo, jie; weng, dongdong; liu, yue; wang, yongtian",2019,journal of the society for information display,,10.1002/jsid.747
subjective and objective evaluation of visual fatigue caused by continuous and discontinuous use of hmds,"guo, jie; weng, dongdong; zhang, zhenliang; liu, yue; duh, henry b. -l.; wang, yongtian",2019,journal of the society for information display,,10.1002/jsid.750
a qoe and simulator sickness evaluation of a smart-exercise-bike virtual reality system via user feedback and physiological signals,"katsigiannis, stamos; willis, rhys; ramzan, naeem",2019,ieee transactions on consumer electronics,,10.1109/TCE.2018.2879065
electromagnetic field visualization in virtual reality,"franklin, j.; ryder, andrew",2019,american journal of physics,,10.1119/1.5080224
tracking feature-based attention,"chu, veronica c.; d'zmura, michael",2019,journal of neural engineering,,10.1088/1741-2552/aaed17
influence of video content type on users' virtual reality sickness perception and physiological response,"guna, joze; gersak, gregor; humar, iztok; song, jeungeun; drnovsek, janko; pogacnik, matevz",2019,future generation computer systems-the international journal of escience,,10.1016/j.future.2018.08.049
hybrid light field head-mounted display using time-multiplexed liquid crystal lens array for resolution enhancement,"chou, ping-yen; wu, dui-yi; huang, shang-hao; wang, chun-ping; qin, zong; huang, cheng-ting; hsieh, po-yuan; lee, hsin-hseuh; lin, ting-hsuan; huang, yi-pai",2019,optics express,,10.1364/OE.27.001164
three-dimensional virtual reality-based subjective evaluation of road traffic noise heard in urban high-rise residential buildings,"jeon, jin yong; jo, hyun in",2019,building and environment,,10.1016/j.buildenv.2018.11.004
virtual reality simulation technology for cardiopulmonary resuscitation training: an innovative hybrid system with haptic feedback,"almousa, omamah; prates, joana; yeslam, noor; mac gregor, dougal; zhang, junsong; viet phan; nielsen, marc; smith, richard; qayumi, karim",2019,simulation & gaming,,10.1177/1046878118820905
the perceptual quality of the oculus rift for immersive virtual reality,"chessa, manuela; maiello, guido; borsari, alessia; bex, peter j.",2019,human-computer interaction,,10.1080/07370024.2016.1243478
virtual reality interfaces for interacting with three-dimensional graphs,"erra, ugo; malandrino, delfina; pepe, luca",2019,international journal of human-computer interaction,,10.1080/10447318.2018.1429061
"an ""ad patres"" itinerary. the fontanelle cemetery in naples between technology and creativity","del verme, laura",2019,archeologia e calcolatori,,0
gamification support for learning in spatial computing environments,"hensen, benedikt; koren, istvan; klamma, ralf",2019,journal of universal computer science,,0
an online brain-computer interface in mobile virtual reality environments,"yao, zhaolin; wang, yijun; yang, chen; pei, weihua; gao, xiaorong; chen, hongda",2019,integrated computer-aided engineering,,10.3233/ICA-180586
development of virtual reality serious game for underground rock-related hazards safety training,"liang, zhipeng; zhou, keping; gao, kaixin",2019,ieee access,,10.1109/ACCESS.2019.2934990
a smartphone-based gaming system for vestibular rehabilitation: a usability study,"nehrujee, aravind; vasanthan, lenny; lepcha, anjali; balasubramanian, sivakumar",2019,journal of vestibular research-equilibrium & orientation,,10.3233/VES-190660
