Title,Rank,Impact_Factor,5_Yr_IF,Half_Life,Percentage_Citable,Avg_IF_Percentile
annals of oncology,98,18.274,15.254,5.1,75.4,96.516
psychological science in the public interest,99,18.25,28.526,7.4,100.0,98.913
annual review of psychology,100,18.156,26.306,12.3,0.0,98.12
annual review of psychology,100,18.156,26.306,12.3,0.0,98.12
european urology,102,17.947,16.519,5.4,80.46,98.235
ieee transactions on pattern analysis and machine intelligence,103,17.861,15.395,9.4,100.0,99.534
intensive care medicine,104,17.679,14.34,7.8,67.35,95.833
blood,105,17.543,14.823,9.1,85.43,99.342
jama psychiatry,106,17.471,18.334,4.1,87.74,98.984
jama psychiatry,106,17.471,18.334,4.1,87.74,98.984
american journal of respiratory and critical care medicine,108,17.452,15.303,9.5,93.75,95.356
pharmacological reviews,109,17.395,22.376,11.1,0.0,99.444
gastroenterology,110,17.373,18.785,9.1,87.4,96.023
behavioral and brain sciences,111,17.333,17.062,14.7,100.0,98.09
behavioral and brain sciences,111,17.333,17.062,14.7,100.0,98.09
alzheimers & dementia,113,17.127,15.093,4.5,94.89,98.775
applied physics reviews,114,17.054,17.861,3.1,15.15,96.429
reports on progress in physics,115,17.032,18.126,8.7,0.0,95.882
nano today,116,16.907,20.603,5.6,22.81,95.722
advanced functional materials,117,16.836,15.722,4.2,92.91,95.322
wiley interdisciplinary reviews-computational molecular science,118,16.778,16.076,6.4,29.41,96.61
annual review of pathology-mechanisms of disease,119,16.75,22.613,7.2,0.0,99.359
national science review,120,16.693,15.209,2.5,64.63,96.479
applied catalysis b-environmental,121,16.683,14.443,3.7,98.36,97.53
nature reviews rheumatology,122,16.625,18.087,5.0,10.87,98.438
nano energy,123,16.602,15.988,2.8,96.2,94.793
annual review of public health,124,16.463,18.341,9.5,0.0,98.911
annual review of public health,124,16.463,18.341,9.5,0.0,98.911
advances in physics,126,16.375,32.32,18.3,0.0,93.478
annual review of marine science,127,16.359,18.069,6.6,0.0,99.002
annual review of fluid mechanics,128,16.306,18.487,15.4,0.0,99.081
science translational medicine,129,16.304,18.559,5.0,97.35,97.277
lancet public health,130,16.292,16.708,2.0,91.11,98.358
lancet public health,130,16.292,16.708,2.0,91.11,98.358
energy storage materials,132,16.28,,1.6,86.13,94.042
lancet psychiatry,133,16.209,18.813,3.4,52.17,98.307
lancet psychiatry,133,16.209,18.813,3.4,52.17,98.307
annals of the rheumatic diseases,135,16.102,13.485,7.0,92.19,95.313
trends in cell biology,136,16.041,17.794,7.0,0.0,95.128
diabetes care,137,16.019,13.054,9.1,97.68,97.552
astronomy and astrophysics review,138,16.0,13.65,7.8,0.0,96.324
cell host & microbe,139,15.923,17.766,5.1,85.61,98.505
advanced science,140,15.84,15.627,2.2,90.31,93.438
molecular cell,141,15.584,16.133,7.9,94.32,96.718
annual review of biomedical engineering,142,15.541,14.689,9.0,0.0,98.276
nature microbiology,143,15.54,16.293,2.4,94.92,97.407
fungal diversity,144,15.386,12.096,6.8,75.0,98.276
coordination chemistry reviews,145,15.367,14.614,7.0,6.57,98.889
molecular cancer,146,15.302,10.478,4.5,60.57,97.296
trends in cognitive sciences,147,15.218,19.023,10.0,0.0,98.416
trends in cognitive sciences,147,15.218,19.023,10.0,0.0,98.416
progress in lipid research,149,15.083,13.063,9.5,0.0,98.793
journal of extracellular vesicles,150,14.976,,4.5,93.85,94.103
psychotherapy and psychosomatics,151,14.864,14.05,7.7,73.91,97.338
psychotherapy and psychosomatics,151,14.864,14.05,7.7,73.91,97.338
progress in retinal and eye research,153,14.86,14.384,7.5,0.0,99.167
annual review of condensed matter physics,154,14.833,19.652,4.9,0.0,92.029
lancet hiv,155,14.813,14.176,2.7,74.65,97.769
lancet gastroenterology & hepatology,156,14.789,14.93,2.2,75.71,94.886
physics of life reviews,156,14.789,13.821,4.8,0.0,99.379
trends in ecology & evolution,158,14.764,18.601,12.2,0.0,99.097
trends in biochemical sciences,159,14.732,17.932,9.7,0.0,97.811
advances in optics and photonics,160,14.69,21.591,5.7,58.33,98.454
hepatology,161,14.679,13.663,8.4,91.24,93.75
annual review of cell and developmental biology,162,14.667,19.766,10.5,0.0,96.185
endocrine reviews,163,14.661,19.795,12.9,0.0,96.853
journal of the american chemical society,164,14.612,14.549,8.8,97.97,92.938
acs nano,165,14.588,15.211,5.2,98.04,92.823
journal of pineal research,166,14.528,11.895,6.5,94.44,97.136
circulation research,167,14.467,15.627,9.2,90.0,97.486
international materials reviews,168,14.429,17.692,9.6,0.0,94.427
trends in plant science,169,14.416,15.727,9.6,0.0,99.359
neuron,170,14.415,15.998,8.7,84.24,97.97
trends in biotechnology,171,14.343,15.157,7.8,0.0,98.397
international review of sport and exercise psychology,172,14.333,8.446,6.1,0.0,99.256
acta neuropathologica,173,14.251,16.291,7.1,79.63,97.988
american journal of psychiatry,174,14.119,14.542,14.1,88.89,96.953
american journal of psychiatry,174,14.119,14.542,14.1,88.89,96.953
annual review of ecology evolution and systematics,176,14.041,16.881,17.4,0.0,98.054
jama pediatrics,177,13.946,13.138,3.7,82.08,99.609
immunological reviews,178,13.939,11.867,8.1,0.0,96.519
fems microbiology reviews,179,13.92,15.636,9.5,0.0,96.667
annual review of entomology,180,13.796,16.669,14.3,0.0,99.505
light-science & applications,181,13.714,15.005,3.2,95.58,97.423
annual review of clinical psychology,182,13.692,18.029,7.9,95.65,97.536
annual review of clinical psychology,182,13.692,18.029,7.9,95.65,97.536
information fusion,184,13.669,10.694,3.3,96.73,99.217
journal of statistical software,185,13.642,21.629,7.3,100.0,99.569
jama surgery,186,13.625,11.13,3.3,89.26,99.762
jama neurology,187,13.608,12.135,3.6,86.47,97.794
mmwr-morbidity and mortality weekly report,188,13.606,11.691,4.4,100.0,97.668
ieee industrial electronics magazine,189,13.593,14.708,5.5,100.0,99.06
nature geoscience,190,13.566,16.103,6.3,99.35,99.75
trends in microbiology,191,13.546,13.537,8.2,0.0,96.7
trends in pharmacological sciences,192,13.503,13.398,8.3,0.0,99.074
malacologia,193,13.5,3.286,17.4,100.0,99.702
signal transduction and targeted therapy,194,13.493,13.195,2.4,62.79,95.107
science immunology,195,13.44,13.408,2.2,91.78,95.886
trends in immunology,196,13.422,14.923,7.2,0.0,95.253
progress in particle and nuclear physics,197,13.421,11.94,7.0,0.0,96.098
journal of thoracic oncology,198,13.357,10.089,4.5,91.94,95.895
advanced drug delivery reviews,199,13.3,15.551,8.1,0.0,98.704
nature plants,200,13.256,14.576,2.9,93.7,98.932
science advances,201,13.116,14.094,2.5,98.63,95.07
ieee geoscience and remote sensing magazine,202,13.0,9.907,3.7,70.83,97.847
angewandte chemie-international edition,203,12.959,12.659,5.9,93.92,91.808
trends in neurosciences,204,12.891,13.136,12.2,0.0,97.232
kidney international supplements,205,12.818,9.821,7.1,100.0,97.059
jama cardiology,206,12.794,12.275,2.3,90.0,96.014
jacc-cardiovascular imaging,207,12.74,11.462,4.4,82.91,97.457
acs central science,208,12.685,13.18,2.4,100.0,91.243
human reproduction update,209,12.684,14.48,8.5,0.0,98.833
annual review of phytopathology,210,12.623,13.878,12.7,0.0,98.504
nature chemical biology,211,12.587,13.824,6.2,97.08,96.801
physical review x,212,12.577,12.666,3.4,100.0,94.706
microbiology and molecular biology reviews,213,12.568,18.504,12.9,0.0,95.185
annual review of neuroscience,214,12.547,16.364,13.6,0.0,96.863
nature ecology & evolution,215,12.541,12.559,2.0,93.14,96.756
annual review of materials research,216,12.531,19.955,10.6,0.0,94.108
molecular psychiatry,217,12.384,12.455,5.3,62.79,96.47
acs catalysis,218,12.35,12.741,3.4,96.88,92.767
european respiratory journal,219,12.339,11.706,7.7,91.38,94.531
ocular surface,220,12.336,9.241,3.2,75.26,97.5
personality and social psychology review,221,12.321,14.513,12.5,80.0,99.219
materials horizons,222,12.319,13.233,2.8,84.97,92.234
nature human behaviour,223,12.282,12.316,2.0,93.04,96.021
nature human behaviour,223,12.282,12.316,2.0,93.04,96.021
nano-micro letters,225,12.264,10.439,2.6,74.04,92.586
small methods,226,12.13,12.13,1.7,67.4,91.375
nature communications,227,12.121,13.61,3.6,99.54,92.254
renewable & sustainable energy reviews,228,12.11,12.348,4.2,43.04,96.488
biological psychiatry,229,12.095,12.069,9.9,86.63,95.781
molecular plant,230,12.084,12.744,4.8,93.2,97.102
nature sustainability,231,12.08,12.092,1.3,89.83,97.196
nature sustainability,231,12.08,12.092,1.3,89.83,97.196
british journal of sports medicine,233,12.022,10.481,6.1,50.0,99.412
natural product reports,234,12.0,11.666,8.3,0.0,98.031
basic research in cardiology,235,11.981,7.434,6.2,83.67,94.565
nature structural & molecular biology,236,11.98,12.263,8.8,91.74,95.302
journal of photochemistry and photobiology c-photochemistry reviews,237,11.952,14.441,7.5,31.82,91.509
academy of management annals,238,11.865,17.833,6.8,73.91,99.725
journal of clinical investigation,239,11.864,13.393,11.5,88.58,98.188
journal of experimental medicine,240,11.743,11.984,13.5,91.41,96.042
annual review of biophysics,241,11.685,11.375,6.6,0.0,96.479
trends in endocrinology and metabolism,242,11.641,12.065,7.1,0.0,95.455
european journal of heart failure,243,11.627,9.361,5.2,91.27,93.841
microbiome,244,11.607,12.16,2.6,95.36,94.444
jnci-journal of the national cancer institute,245,11.577,11.641,11.8,88.97,95.287
nature astronomy,246,11.518,11.676,1.7,91.94,94.853
bone research,247,11.508,10.637,3.2,71.88,94.828
nucleic acids research,248,11.501,11.797,7.2,100.0,95.118
small,249,11.459,10.611,4.1,90.95,91.017
siam review,250,11.431,9.649,16.5,95.83,99.808
ieee journal on selected areas in communications,251,11.42,9.803,5.4,100.0,98.509
ieee wireless communications,252,11.391,10.352,4.1,100.0,98.406
catalysis reviews-science and engineering,253,11.389,10.265,18.3,0.0,90.252
quarterly journal of economics,254,11.375,16.095,18.7,100.0,99.865
ieee signal processing magazine,255,11.35,11.51,8.5,94.23,97.932
brain,256,11.337,11.931,10.2,96.98,96.346
trends in genetics,257,11.333,11.641,10.0,0.0,98.023
journal of materials chemistry a,258,11.301,10.694,3.6,93.76,91.814
annual review of pharmacology and toxicology,259,11.25,11.98,11.4,0.0,98.895
nano letters,260,11.238,12.727,6.5,99.31,89.991
ieee transactions on evolutionary computation,261,11.169,14.033,11.5,98.68,98.386
medical image analysis,262,11.148,8.647,5.1,98.64,98.012
annual review of genetics,263,11.146,12.295,10.8,0.0,97.458
trends in molecular medicine,264,11.099,12.503,7.0,0.0,94.524
genome research,265,11.093,12.01,9.4,100.0,96.365
trends in cancer,265,11.093,11.592,2.7,0.0,94.877
seminars in cancer biology,267,11.09,11.29,5.3,24.21,94.467
ieee transactions on cybernetics,268,11.079,10.09,2.9,100.0,97.875
trends in food science & technology,269,11.077,11.392,6.4,8.28,99.64
molecular biology and evolution,270,11.062,13.401,8.1,99.55,94.478
journal of hematology & oncology,271,11.059,8.474,3.0,48.12,95.384
ieee communications magazine,272,11.052,11.682,4.8,99.53,96.834
annual review of microbiology,273,11.0,12.295,13.7,0.0,93.704
drug resistance updates,273,11.0,14.01,7.5,0.0,97.963
nature reviews urology,273,11.0,9.402,4.7,11.63,95.882
annual review of organizational psychology and organizational behavior,276,10.923,14.676,4.4,61.11,98.775
annual review of nutrition,277,10.897,12.198,14.2,0.0,98.315
genome biology,278,10.806,19.041,6.6,96.03,96.439
entrepreneurship theory and practice,279,10.75,11.035,10.4,100.0,99.013
biotechnology advances,280,10.744,13.597,7.2,0.0,96.474
cell death and differentiation,281,10.717,9.597,7.3,86.7,92.655
biological reviews,282,10.701,11.297,8.7,54.29,98.387
genome medicine,283,10.675,10.637,3.8,87.14,95.198
laser & photonics reviews,284,10.655,9.995,5.3,85.19,92.202
chemical engineering journal,285,10.652,9.43,3.8,96.73,97.361
annual review of physical chemistry,286,10.638,13.644,12.1,0.0,88.365
ageing research reviews,287,10.616,10.401,5.2,20.0,95.023
journal of industrial information integration,288,10.615,,2.3,90.91,98.332
pharmacology & therapeutics,289,10.557,11.402,6.4,0.0,97.593
american journal of human genetics,290,10.502,10.344,10.9,97.92,94.633
plos medicine,291,10.5,13.488,8.4,99.2,95.455
global environmental change-human and policy dimensions,292,10.466,10.966,7.0,100.0,98.684
global environmental change-human and policy dimensions,292,10.466,10.966,7.0,100.0,98.684
materials today physics,294,10.443,10.443,2.1,94.23,91.881
reviews in mineralogy & geochemistry,295,10.438,9.066,14.4,,97.108
nature protocols,296,10.419,13.563,9.3,100.0,98.052
systematic biology,297,10.408,9.765,9.4,98.57,91.0
lancet haematology,298,10.406,10.91,3.0,95.92,95.395
biomaterials,299,10.317,9.656,8.6,92.02,97.331
international journal of intelligent systems,300,10.312,8.708,4.2,99.3,95.956
biosensors & bioelectronics,301,10.257,8.669,4.2,89.12,94.138
clinical psychology review,302,10.255,13.306,9.2,0.0,98.855
proceedings of the ieee,303,10.252,11.753,13.2,94.96,97.18
neuro-oncology,304,10.247,9.552,4.9,87.22,95.231
dialogues in human geography,305,10.231,,4.8,100.0,98.214
journal of allergy and clinical immunology,306,10.228,11.592,7.3,89.19,96.101
american journal of gastroenterology,307,10.171,10.401,10.0,79.29,92.614
protein & cell,308,10.164,7.978,4.3,85.0,90.513
annals of surgery,309,10.13,9.306,10.2,93.56,99.286
clinical cancer research,310,10.107,10.115,7.6,94.94,93.238
developmental cell,311,10.092,10.129,8.2,92.44,93.171
redox biology,312,9.986,9.789,2.8,85.97,93.434
ieee internet of things journal,313,9.936,11.705,2.0,98.44,96.734
nanoscale horizons,314,9.927,10.281,1.9,85.21,88.083
advances in colloid and interface science,315,9.922,9.922,8.4,83.5,87.107
psychological inquiry,316,9.917,23.103,17.7,100.0,97.464
journal for immunotherapy of cancer,317,9.913,,2.5,91.72,93.091
comprehensive reviews in food science and food safety,318,9.912,11.2,5.7,0.0,98.921
journal of economic perspectives,318,9.912,11.206,14.0,100.0,99.596
embo journal,320,9.889,10.373,15.4,95.52,91.292
journal of cachexia sarcopenia and muscle,321,9.802,9.428,2.9,93.1,95.954
trac-trends in analytical chemistry,322,9.801,9.661,4.9,0.0,98.256
angiogenesis,323,9.78,7.338,5.7,95.56,96.154
optica,324,9.778,9.512,2.9,96.96,95.361
autophagy,325,9.77,11.966,5.8,95.24,88.974
cancer research,326,9.727,9.883,11.6,92.91,92.418
earth-science reviews,327,9.724,10.973,7.3,11.95,99.25
liver cancer,328,9.72,7.912,3.2,77.42,91.743
annual review of medicine,329,9.716,12.89,8.6,0.0,96.014
current opinion in chemical biology,330,9.689,8.101,8.1,0.0,93.211
surface science reports,331,9.688,15.915,12.8,0.0,86.355
plant cell,332,9.618,10.144,11.3,98.01,92.845
sleep medicine reviews,333,9.613,10.765,7.2,0.0,95.671
current biology,334,9.601,10.174,7.9,94.32,92.449
lab animal,335,9.6,2.969,7.0,33.33,99.648
molecular neurodegeneration,336,9.599,8.595,4.8,57.45,94.649
arthritis & rheumatology,337,9.586,8.477,3.6,98.48,92.188
molecular aspects of medicine,338,9.577,9.12,7.1,0.0,93.52
current opinion in solid state & materials science,339,9.571,8.418,9.0,0.0,89.086
chemistry of materials,340,9.567,10.102,6.8,97.69,88.386
annual review of chemical and biomolecular engineering,341,9.561,9.109,5.6,0.0,98.074
genes & development,342,9.527,10.327,12.7,83.62,91.802
ieee transactions on fuzzy systems,343,9.518,9.376,5.4,99.49,95.825
science bulletin,344,9.511,6.079,2.4,88.95,90.845
green chemistry,345,9.48,9.707,5.1,92.93,92.662
proceedings of the national academy of sciences of the united states of america,346,9.412,10.62,10.0,100.0,89.437
bulletin of the american meteorological society,347,9.384,9.333,9.9,99.33,98.387
progress in neurobiology,348,9.371,11.883,9.8,0.0,94.28
chemical science,349,9.346,8.945,3.5,98.74,88.418
npj computational materials,350,9.341,11.282,2.3,90.48,87.913
ieee transactions on image processing,351,9.34,9.369,6.6,100.0,95.269
npj 2d materials and applications,352,9.324,9.338,2.0,100.0,88.284
journal of the national comprehensive cancer network,353,9.316,6.78,3.7,84.52,91.598
ieee transactions on systems man cybernetics-systems,354,9.309,7.715,3.0,99.15,95.4
medicinal research reviews,355,9.3,9.49,7.5,0.0,97.382
frontiers in ecology and the environment,356,9.295,11.61,8.3,64.71,98.109
journal of the american society of nephrology,357,9.274,9.024,9.4,95.38,94.706
international journal of engineering science,358,9.219,7.626,7.7,99.06,99.451
earth system science data,359,9.197,9.612,2.7,100.0,98.031
seminars in immunology,360,9.186,9.775,6.1,0.0,92.722
isme journal,361,9.18,10.712,5.9,99.2,95.142
analytic methods in accident research,362,9.179,,3.3,100.0,98.295
journal of international business studies,363,9.158,9.977,12.2,91.67,98.625
water research,364,9.13,9.639,7.9,93.94,97.559
ieee transactions on industrial informatics,365,9.112,9.008,2.9,99.5,96.565
annual review of earth and planetary sciences,366,9.089,12.752,14.2,0.0,95.816
remote sensing of environment,367,9.085,9.626,8.7,98.74,95.664
ieee computational intelligence magazine,368,9.083,8.461,5.8,96.15,93.75
frontiers in neuroendocrinology,369,9.059,10.56,7.8,0.0,94.333
journal of hazardous materials,370,9.038,8.512,8.5,98.26,95.283
annals of neurology,371,9.037,10.044,11.2,97.71,94.688
studies in mycology,372,9.027,13.788,7.6,100.0,94.828
molecular systems biology,373,8.991,9.954,8.3,97.73,91.414
briefings in bioinformatics,374,8.99,7.468,4.0,70.17,97.105
molecular therapy,375,8.986,7.885,6.6,91.88,94.42
annual review of food science and technology,376,8.96,10.761,5.2,0.0,98.201
kidney international,377,8.945,8.967,11.5,86.51,93.529
progress in aerospace sciences,378,8.94,9.572,9.2,0.0,98.387
social issues and policy review,379,8.938,9.459,5.3,100.0,98.26
genetics in medicine,380,8.904,10.435,4.5,92.31,92.938
progress in nuclear magnetic resonance spectroscopy,381,8.892,8.227,9.6,0.0,94.016
mass spectrometry reviews,382,8.887,8.479,9.9,0.0,96.429
cancer treatment reviews,383,8.885,8.547,5.3,0.0,91.189
journal of management,384,8.88,11.847,11.8,85.19,97.724
applied energy,385,8.848,9.086,3.9,96.15,94.282
thorax,386,8.834,8.937,10.0,85.62,92.969
carbon,387,8.821,7.984,6.1,96.98,86.965
embo molecular medicine,387,8.821,10.366,4.8,89.66,93.841
journal of cell biology,389,8.811,9.058,14.0,92.55,86.923
ieee network,390,8.808,8.071,3.7,100.0,96.123
ieee transactions on neural networks and learning systems,391,8.793,8.823,6.0,99.68,95.321
annual review of nuclear and particle science,392,8.778,7.179,9.8,0.0,91.742
neurology,393,8.77,8.899,11.2,93.42,95.343
acs applied materials & interfaces,394,8.758,8.901,3.4,99.58,86.33
jacc-heart failure,395,8.75,8.708,3.5,70.45,93.116
cancer immunology research,396,8.728,9.876,4.0,95.98,91.434
bioactive materials,397,8.724,,1.9,69.23,95.44
allergy,398,8.706,7.466,7.1,85.19,93.049
movement disorders,399,8.679,8.155,8.7,86.47,94.853
cell systems,400,8.673,11.453,2.9,97.87,88.744
ecology letters,401,8.665,10.562,9.6,91.84,96.726
leukemia,401,8.665,9.359,6.6,90.91,92.224
journal of crohns & colitis,403,8.658,7.387,4.0,90.18,90.341
international journal of management reviews,404,8.631,9.896,8.6,45.45,97.524
theranostics,405,8.579,9.108,2.7,88.81,93.116
matrix biology,406,8.572,8.465,5.1,76.14,88.319
global change biology,407,8.555,9.827,7.0,95.02,97.359
computer-aided civil and infrastructure engineering,408,8.552,6.212,5.7,100.0,98.329
sports medicine,409,8.551,9.761,8.0,20.61,98.235
clinical gastroenterology and hepatology,410,8.549,7.505,6.0,80.0,89.205
lancet child & adolescent health,411,8.543,8.543,1.5,67.14,98.828
new phytologist,412,8.512,8.795,7.8,83.19,97.222
cellular & molecular immunology,413,8.484,7.365,4.3,66.67,90.823
ophthalmology,414,8.47,8.339,9.8,96.93,95.833
acta numerica,415,8.455,12.862,14.6,100.0,99.846
jacc-cardiovascular interventions,416,8.432,8.621,4.2,89.89,92.391
psychological methods,417,8.43,9.678,14.0,95.35,96.739
academy of management review,418,8.413,12.44,20.6,94.12,96.974
environmental innovation and societal transitions,419,8.4,,4.1,100.0,96.785
environmental innovation and societal transitions,419,8.4,,4.1,100.0,96.785
administrative science quarterly,421,8.391,9.88,23.5,100.0,96.424
physical review letters,422,8.385,8.215,11.4,100.0,93.529
environmental health perspectives,423,8.382,10.081,10.3,95.31,97.186
current opinion in plant biology,424,8.356,8.483,9.1,0.0,96.795
applied materials today,425,8.352,8.383,2.2,79.72,89.331
critical reviews in solid state and materials sciences,426,8.344,8.222,8.7,0.0,86.173
advances in applied mechanics,427,8.333,5.417,29.5,0.0,98.872
neuroscience and biobehavioral reviews,428,8.33,9.526,6.8,14.24,94.183
cement and concrete research,429,8.328,8.515,13.3,97.4,93.157
review of educational research,430,8.327,12.654,14.0,39.13,99.81
clinical infectious diseases,431,8.313,8.845,8.3,94.55,93.241
chest,432,8.308,7.772,11.5,75.45,90.842
critical reviews in environmental science and technology,433,8.302,10.404,7.5,0.0,95.66
current opinion in biotechnology,434,8.288,8.94,6.8,0.0,95.003
advanced optical materials,435,8.286,8.224,2.6,83.17,91.353
bioscience,436,8.282,8.033,14.8,97.37,96.237
economic geography,437,8.279,9.912,10.9,100.0,98.175
journal of the american academy of dermatology,438,8.277,7.95,9.2,78.8,99.265
perspectives on psychological science,439,8.275,11.029,7.4,98.67,96.014
ieee transactions on smart grid,440,8.267,9.758,4.1,99.84,94.925
journal of power sources,441,8.247,7.25,6.0,98.17,88.412
current opinion in cell biology,442,8.24,9.066,9.5,0.0,85.385
journal of neurology neurosurgery and psychiatry,443,8.234,7.817,13.5,73.29,96.111
persoonia,444,8.227,8.655,5.7,100.0,91.379
biofabrication,445,8.213,8.251,3.8,92.0,93.55
international journal of information management,446,8.21,8.69,4.6,89.87,99.425
energy conversion and management,447,8.208,7.447,4.3,96.54,95.443
astrophysical journal letters,448,8.198,6.346,5.2,100.0,91.912
nano research,449,8.183,8.164,3.6,90.19,85.604
cardiovascular research,450,8.168,6.86,9.8,68.79,91.667
epidemiologic reviews,451,8.16,8.767,12.2,,96.632
